#Model: 0.219183863331 0.601031497123 -0.767542290670 5.212951406400 2.139010599314 -0.141230884070 -0.215809966418 1.561356903983 -6.135311066029 -5.183160581110 -0.788942095130 8.600539650829 -1.813106464693 0.767409693706 1.772226662045 0.065893676221 -1.914458488523 4.132796292330 -0.920527434035 -0.302161452647 4.960668766481 0.985736962842 2.526451295266 -2.047222742839 4.516695663532 0.033624851517 1.000000000000 2.232131446368 0.138994601898 0.107465061797 0.270386705507 -0.203837747032 0.054232302902 -1.085741666407 0.721040181129 0.454059502051 0.070000000000 0.069734024178 0.005316160864 -0.029266369672 0.311235807926 9.505203556705 -0.006990274105 0.368459641153 0.629028303723 0.421511593441 0 369.052935209963
#Type Subtype Z1 Z2 step1 step2 SM1 SM2 smb1 smb2 R1 R2 Val Err_h Err_l Model_Val MV+ MV- Chi2 Chi2+ Chi2-
qf_uvj a 2.000000 2.500000 56 66 11.600000 11.700000 92 94 0.000000 0.000000 2.500000e-01 0.428117 0.250200 4.102359e-01 6.313011e-02 2.428604e-02 1.581736e-01 1.452938e-01 4.602575e-02
qf_uvj a 2.000000 2.500000 56 66 11.500000 11.600000 90 92 0.000000 0.000000 1.430000e-01 0.209239 0.143349 4.063906e-01 5.138273e-02 2.395119e-02 1.353075e+00 6.316058e-01 2.531995e-01
qf_uvj a 2.000000 2.500000 56 66 11.450000 11.550000 89 91 0.000000 0.000000 6.000000e-01 0.400125 0.600083 4.036494e-01 4.572132e-02 2.332894e-02 1.170880e-01 3.034703e-02 5.050200e-02
qf_uvj a 2.000000 2.500000 56 66 11.350000 11.450000 87 89 0.000000 0.000000 4.000000e-01 0.217230 0.255196 3.957646e-01 3.814638e-02 2.262794e-02 0.000000e+00 1.241051e-02 0.000000e+00
qf_uvj a 2.000000 2.500000 56 66 11.250000 11.350000 85 87 0.000000 0.000000 2.740000e-01 0.125399 0.133375 3.841206e-01 3.222157e-02 2.184765e-02 5.076427e-01 4.427634e-01 2.193755e-01
qf_uvj a 2.000000 2.500000 56 66 11.150000 11.250000 83 85 0.000000 0.000000 1.490000e-01 0.106471 0.068731 3.685414e-01 2.786856e-02 2.247925e-02 3.512418e+00 1.049622e+00 7.468036e-01
qf_uvj a 2.000000 2.500000 56 66 11.050000 11.150000 81 83 0.000000 0.000000 2.370000e-01 0.078638 0.078638 3.492590e-01 2.343754e-02 2.378110e-02 1.376410e+00 7.881571e-01 6.181271e-01
qf_uvj a 2.000000 2.500000 56 66 10.950000 11.050000 79 81 0.000000 0.000000 2.790000e-01 0.071701 0.076655 3.267208e-01 2.103000e-02 2.515316e-02 1.435327e-01 3.090316e-01 1.415006e-01
qf_uvj a 2.000000 2.500000 56 66 10.850000 10.950000 77 79 0.000000 0.000000 1.810000e-01 0.075664 0.050990 3.014419e-01 2.176212e-02 2.702136e-02 1.762197e+00 8.463316e-01 8.096403e-01
qf_uvj a 2.000000 2.500000 56 66 10.800000 10.900000 76 78 0.000000 0.000000 2.450000e-01 0.055902 0.056886 2.879410e-01 2.226586e-02 2.846603e-02 1.666925e-01 4.850999e-01 1.666925e-01
qf_uvj a 2.000000 2.500000 56 66 10.700000 10.800000 74 76 0.000000 0.000000 2.490000e-01 0.053935 0.051971 2.595830e-01 1.995304e-02 3.081493e-02 0.000000e+00 7.315330e-02 0.000000e+00
qf_uvj a 2.000000 2.500000 56 66 10.600000 10.700000 72 74 0.000000 0.000000 2.390000e-01 0.054918 0.051971 2.300211e-01 1.895512e-02 3.268944e-02 0.000000e+00 1.994539e-01 0.000000e+00
qf_uvj a 2.000000 2.500000 56 66 10.500000 10.600000 70 72 0.000000 0.000000 2.460000e-01 0.067742 0.079630 2.001615e-01 1.850017e-02 3.525179e-02 1.177732e-01 4.935277e-01 1.078856e-01
ssfr a 0.800000 1.000000 99 110 10.200000 10.500000 64 70 0.000000 0.000000 -9.328811e+00 0.280179 0.280179 -9.236685e+00 3.158576e-02 2.000967e-02 6.626889e-02 7.075092e-02 3.166921e-02
ssfr a 0.800000 1.000000 99 110 10.500000 10.800000 70 76 0.000000 0.000000 -9.553640e+00 0.280179 0.280179 -9.480271e+00 4.113002e-02 1.722929e-02 3.628364e-02 7.747550e-02 1.964556e-02
ssfr a 0.800000 1.000000 99 110 10.800000 11.100000 76 82 0.000000 0.000000 -9.754664e+00 0.280179 0.280179 -9.773407e+00 7.194062e-02 1.090954e-02 0.000000e+00 2.508361e-02 0.000000e+00
ssfr a 0.800000 1.000000 99 110 11.100000 12.000000 82 100 0.000000 0.000000 -9.928158e+00 0.280179 0.280179 -1.015292e+01 1.332195e-01 3.755450e-02 5.341071e-01 2.138828e-01 4.689059e-01
smf a 0.200000 0.300000 146 155 9.200000 9.300000 44 46 0.000000 0.000000 -2.024313e+00 0.093056 0.086622 -1.991562e+00 1.502778e-02 4.652859e-03 1.999289e-02 7.377213e-02 1.189878e-02
smf a 0.200000 0.300000 146 155 9.300000 9.400000 46 48 0.000000 0.000000 -2.077662e+00 0.068537 0.063733 -2.030409e+00 1.431990e-02 4.094635e-03 1.652693e-01 2.134082e-01 4.539966e-02
smf a 0.200000 0.300000 146 155 9.400000 9.500000 48 50 0.000000 0.000000 -2.080746e+00 0.042136 0.038803 -2.066698e+00 1.346009e-02 4.278275e-03 0.000000e+00 3.401173e-02 0.000000e+00
smf a 0.200000 0.300000 146 155 9.500000 9.600000 50 52 0.000000 0.000000 -2.103956e+00 0.040097 0.038350 -2.100161e+00 1.274854e-02 6.319823e-03 0.000000e+00 0.000000e+00 0.000000e+00
smf a 0.200000 0.300000 146 155 9.600000 9.700000 52 54 0.000000 0.000000 -2.158301e+00 0.035941 0.040678 -2.131318e+00 1.173548e-02 8.076395e-03 3.425251e-02 2.216084e-01 3.425251e-02
smf a 0.200000 0.300000 146 155 9.700000 9.800000 54 56 0.000000 0.000000 -2.186296e+00 0.036468 0.037245 -2.160940e+00 1.162172e-02 8.549733e-03 2.118536e-02 1.931248e-01 2.118536e-02
smf a 0.200000 0.300000 146 155 9.800000 9.900000 56 58 0.000000 0.000000 -2.194845e+00 0.040651 0.041686 -2.187680e+00 1.293362e-02 6.410501e-03 0.000000e+00 5.769784e-06 0.000000e+00
smf a 0.200000 0.300000 146 155 9.900000 10.000000 58 60 0.000000 0.000000 -2.238213e+00 0.042897 0.039930 -2.210208e+00 1.205485e-02 5.188843e-03 3.694382e-02 1.903138e-01 3.233056e-02
smf a 0.200000 0.300000 146 155 10.000000 10.100000 60 62 0.000000 0.000000 -2.284284e+00 0.046266 0.046898 -2.231155e+00 1.241836e-02 5.133913e-03 5.107459e-01 4.582023e-01 1.465831e-01
smf a 0.200000 0.300000 146 155 10.100000 10.200000 62 64 0.000000 0.000000 -2.289352e+00 0.052510 0.049566 -2.252548e+00 1.207797e-02 4.269368e-03 1.065511e-01 2.039947e-01 4.697957e-02
smf a 0.200000 0.300000 146 155 10.200000 10.300000 64 66 0.000000 0.000000 -2.329917e+00 0.038918 0.041337 -2.273713e+00 1.034251e-02 4.271234e-03 8.617545e-01 5.686822e-01 1.957437e-01
smf a 0.200000 0.300000 146 155 10.300000 10.400000 66 68 0.000000 0.000000 -2.357127e+00 0.045618 0.046961 -2.296836e+00 1.042554e-02 5.244355e-03 7.774370e-01 4.585617e-01 1.911671e-01
smf a 0.200000 0.300000 146 155 10.400000 10.500000 68 70 0.000000 0.000000 -2.388184e+00 0.070238 0.065551 -2.326127e+00 1.150913e-02 4.759231e-03 3.686785e-01 2.225898e-01 7.733901e-02
smf a 0.200000 0.300000 146 155 10.500000 10.600000 70 72 0.000000 0.000000 -2.407498e+00 0.073924 0.078657 -2.363326e+00 1.340762e-02 6.050979e-03 1.025908e-01 1.481284e-01 4.521993e-02
smf a 0.200000 0.300000 146 155 10.600000 10.700000 72 74 0.000000 0.000000 -2.436292e+00 0.060545 0.057423 -2.412495e+00 1.538121e-02 7.008683e-03 4.137064e-03 9.993705e-02 4.137064e-03
smf a 0.200000 0.300000 146 155 10.700000 10.800000 74 76 0.000000 0.000000 -2.541429e+00 0.057827 0.055831 -2.479556e+00 1.540829e-02 7.174886e-03 5.294386e-01 4.520832e-01 1.642965e-01
smf a 0.200000 0.300000 146 155 10.800000 10.900000 76 78 0.000000 0.000000 -2.624489e+00 0.078158 0.066443 -2.570853e+00 1.804946e-02 8.133242e-03 2.035708e-01 2.587758e-01 8.444764e-02
smf a 0.200000 0.300000 146 155 10.900000 11.000000 78 80 0.000000 0.000000 -2.729152e+00 0.092117 0.084155 -2.689371e+00 2.024074e-02 7.953781e-03 4.956268e-02 1.492175e-01 3.170097e-02
csfr a 0.800000 0.820000 109 110 10.000000 10.000000 60 60 0.000000 0.000000 -1.162233e+00 0.130384 0.130384 -1.207962e+00 2.631880e-02 9.838519e-03 3.894118e-02 3.547494e-02 3.894118e-02
uvlf a 9.500000 11.000000 11 15 -21.650000 -20.850000 47 63 0.000000 0.000000 -6.045757e+00 0.250077 0.653289 -5.920879e+00 9.987587e-02 4.182877e-01 1.109352e-01 8.311527e-01 1.028384e-01
uvlf a 9.500000 11.000000 11 15 -20.850000 -20.050000 63 79 0.000000 0.000000 -4.744727e+00 0.189037 0.341605 -4.953711e+00 6.326163e-02 2.729459e-01 4.029220e-01 1.425612e+00 1.935739e-01
irx a 3.500000 4.500000 36 44 -22.500000 -21.500000 30 50 0.000000 0.000000 4.303554e-01 0.255956 0.306474 7.871926e-01 5.553304e-02 1.534699e-01 1.731848e+00 6.181190e-01 1.243797e+00
irx a 3.500000 4.500000 36 44 -21.500000 -20.500000 50 70 0.000000 0.000000 2.402800e-01 0.283759 0.378196 3.663322e-01 6.908779e-02 1.472761e-01 1.177086e-01 2.404322e-01 1.158065e-01
irx a 3.500000 4.500000 36 44 -20.500000 -19.500000 70 90 0.000000 0.000000 -1.086844e-01 0.368628 0.804228 -1.927860e-02 1.083986e-01 1.213535e-01 2.092885e-02 1.448429e-01 2.033172e-02
irx a 3.500000 4.500000 36 44 -19.500000 -18.500000 90 110 0.000000 0.000000 -3.948376e-01 0.482508 9.605168 -3.486509e-01 1.381632e-01 1.194428e-01 8.557441e-04 4.805163e-02 8.352464e-04
irx a 3.500000 4.500000 36 44 -18.500000 -17.500000 110 130 0.000000 0.000000 -6.450171e-01 0.619978 9.354988 -6.432922e-01 1.615390e-01 1.251203e-01 0.000000e+00 2.942524e-02 -1.484397e-04
smf a 2.000000 2.500000 56 66 10.400000 10.550000 68 71 0.000000 0.000000 -3.138983e+00 0.132415 0.156730 -3.035872e+00 1.210225e-02 2.695995e-02 3.703861e-01 1.230497e-01 2.067992e-01
smf a 2.000000 2.500000 56 66 10.550000 10.750000 71 75 0.000000 0.000000 -3.180773e+00 0.119939 0.119391 -3.144107e+00 1.484951e-02 2.636854e-02 1.938455e-02 4.989364e-02 1.938455e-02
smf a 2.000000 2.500000 56 66 10.750000 10.900000 75 78 0.000000 0.000000 -3.232583e+00 0.090036 0.082507 -3.287311e+00 2.760346e-02 2.404037e-02 1.685422e-01 3.263041e-01 1.616458e-01
smf a 2.000000 2.500000 56 66 10.900000 11.050000 78 81 0.000000 0.000000 -3.444463e+00 0.158860 0.159813 -3.456505e+00 3.262224e-02 2.206620e-02 0.000000e+00 1.132421e-02 0.000000e+00
smf a 2.000000 2.500000 56 66 11.050000 11.250000 81 85 0.000000 0.000000 -3.740203e+00 0.192325 0.185053 -3.725386e+00 3.784528e-02 1.631483e-02 0.000000e+00 3.034786e-02 0.000000e+00
smf a 2.000000 2.500000 56 66 11.250000 11.400000 85 88 0.000000 0.000000 -4.103623e+00 0.177267 0.202692 -4.100002e+00 5.232932e-02 2.081542e-02 0.000000e+00 4.133946e-02 0.000000e+00
smf a 2.000000 2.500000 56 66 11.400000 11.600000 88 92 0.000000 0.000000 -4.676153e+00 0.343851 0.397616 -4.574088e+00 8.795533e-02 3.564781e-02 5.115621e-02 1.763476e-01 3.502108e-02
smf a 2.000000 2.500000 56 66 11.600000 11.750000 92 95 0.000000 0.000000 -5.349783e+00 0.299636 0.671770 -5.203849e+00 1.355181e-01 5.324953e-02 1.182753e-01 5.738634e-01 8.292444e-02
smf a 0.200000 0.500000 132 155 8.200000 8.450000 24 29 0.000000 0.000000 -1.573003e+00 0.092667 0.078798 -1.598476e+00 1.635773e-02 1.522091e-02 4.172530e-03 5.725166e-02 4.172530e-03
smf a 0.200000 0.500000 132 155 8.450000 8.750000 29 35 0.000000 0.000000 -1.690613e+00 0.041506 0.066224 -1.717516e+00 1.476571e-02 1.289334e-02 1.721719e-02 1.096919e-01 1.721719e-02
smf a 0.200000 0.500000 132 155 8.750000 9.000000 35 40 0.000000 0.000000 -1.811183e+00 0.057239 0.050470 -1.848447e+00 1.890438e-02 1.260133e-02 1.079040e-01 2.249614e-01 1.079040e-01
smf a 0.200000 0.500000 132 155 9.000000 9.300000 40 46 0.000000 0.000000 -1.899623e+00 0.057082 0.088069 -1.972226e+00 1.977555e-02 5.843730e-03 4.270272e-01 8.418044e-02 2.418024e-01
smf a 0.200000 0.500000 132 155 9.300000 9.600000 46 52 0.000000 0.000000 -2.073813e+00 0.066576 0.047304 -2.088930e+00 1.447988e-02 5.077053e-03 0.000000e+00 7.450571e-05 0.000000e+00
smf a 0.200000 0.500000 132 155 9.600000 9.850000 52 57 0.000000 0.000000 -2.173193e+00 0.054416 0.054966 -2.173666e+00 1.226759e-02 6.896292e-03 0.000000e+00 0.000000e+00 0.000000e+00
smf a 0.200000 0.500000 132 155 9.850000 10.150000 57 63 0.000000 0.000000 -2.248523e+00 0.054259 0.056652 -2.235002e+00 1.121780e-02 5.867679e-03 0.000000e+00 7.335109e-03 0.000000e+00
smf a 0.200000 0.500000 132 155 10.150000 10.400000 63 68 0.000000 0.000000 -2.299073e+00 0.059852 0.054017 -2.287940e+00 1.002931e-02 4.943808e-03 0.000000e+00 4.181687e-04 0.000000e+00
smf a 0.200000 0.500000 132 155 10.400000 10.700000 68 74 0.000000 0.000000 -2.369593e+00 0.063584 0.055692 -2.370754e+00 1.186783e-02 5.054232e-03 0.000000e+00 0.000000e+00 0.000000e+00
smf a 0.200000 0.500000 132 155 10.700000 10.950000 74 79 0.000000 0.000000 -2.558583e+00 0.076958 0.060524 -2.553010e+00 1.452531e-02 7.467925e-03 0.000000e+00 2.078964e-06 0.000000e+00
smf a 0.200000 0.500000 132 155 10.950000 11.200000 79 84 0.000000 0.000000 -2.888923e+00 0.084171 0.107609 -2.882918e+00 2.059431e-02 1.104321e-02 0.000000e+00 4.964523e-03 0.000000e+00
smf a 0.200000 0.500000 132 155 11.200000 11.450000 84 89 0.000000 0.000000 -3.331043e+00 0.171890 0.212490 -3.393643e+00 2.984383e-02 2.782241e-02 4.794938e-02 7.921344e-02 4.350705e-02
smf a 0.200000 0.500000 132 155 11.450000 11.850000 89 97 0.000000 0.000000 -4.236263e+00 0.181758 0.207842 -4.208006e+00 3.568672e-02 5.153159e-02 1.823064e-03 5.887018e-02 1.823064e-03
smf a 0.200000 0.500000 132 155 11.850000 12.300000 97 106 0.000000 0.000000 -5.210713e+00 0.349977 999.868000 -5.784026e+00 1.559598e-01 8.454636e-02 1.951160e-01 3.245027e-02 6.386243e-02
qf_uvj a 1.000000 1.500000 79 99 11.700000 11.800000 94 96 0.000000 0.000000 1.000000e+00 0.050990 1.000050 8.394410e-01 4.303120e-02 3.618531e-02 3.939134e-01 8.041884e-02 1.162909e-01
qf_uvj a 1.000000 1.500000 79 99 11.600000 11.700000 92 94 0.000000 0.000000 8.000000e-01 0.200250 0.800062 8.103942e-01 4.285749e-02 3.318213e-02 0.000000e+00 1.387961e-02 0.000000e+00
qf_uvj a 1.000000 1.500000 79 99 11.500000 11.600000 90 92 0.000000 0.000000 9.410000e-01 0.059841 0.563089 7.775818e-01 3.765651e-02 2.877019e-02 4.097532e-01 7.507608e-02 1.114053e-01
